crop,scheme,model,rmse
orz,rolling origin,k nearest neighbours,0.4764
orz,rolling origin,neural net,0.5266
porumb,random 5-fold,raion mean + trend,0.807
porumb,random 5-fold,baseline FE,0.5812
porumb,random 5-fold,"ridge, all features",0.4367
porumb,random 5-fold,splines + ridge,0.4377
porumb,random 5-fold,random forest,0.3751
porumb,random 5-fold,extra trees,0.3612
porumb,random 5-fold,gradient boosting,0.3603
porumb,random 5-fold,k nearest neighbours,0.768
porumb,random 5-fold,neural net,0.5325
porumb,leave-one-year-out,raion mean + trend,0.8599
porumb,leave-one-year-out,baseline FE,0.6659
porumb,leave-one-year-out,"ridge, all features",0.7074
porumb,leave-one-year-out,splines + ridge,0.735
porumb,leave-one-year-out,random forest,0.7623
porumb,leave-one-year-out,extra trees,0.6941
porumb,leave-one-year-out,gradient boosting,0.734
porumb,leave-one-year-out,k nearest neighbours,0.7599
porumb,leave-one-year-out,neural net,0.7581
porumb,leave-one-raion-out,raion mean + trend,0.8146
porumb,leave-one-raion-out,baseline FE,0.5987
porumb,leave-one-raion-out,"ridge, all features",0.4724
porumb,leave-one-raion-out,splines + ridge,0.4733
porumb,leave-one-raion-out,random forest,0.3801
porumb,leave-one-raion-out,extra trees,0.3637
porumb,leave-one-raion-out,gradient boosting,0.3983
porumb,leave-one-raion-out,k nearest neighbours,0.3968
porumb,leave-one-raion-out,neural net,1.396
porumb,rolling origin,raion mean + trend,0.8003
porumb,rolling origin,baseline FE,0.7046
porumb,rolling origin,"ridge, all features",0.8769
porumb,rolling origin,splines + ridge,0.9957
porumb,rolling origin,random forest,0.8159
porumb,rolling origin,extra trees,0.6759
porumb,rolling origin,gradient boosting,0.7793
porumb,rolling origin,k nearest neighbours,0.6618
porumb,rolling origin,neural net,0.7481
sfecla,random 5-fold,raion mean + trend,0.4351
sfecla,random 5-fold,baseline FE,0.3269
sfecla,random 5-fold,"ridge, all features",0.3229
sfecla,random 5-fold,splines + ridge,0.3287
sfecla,random 5-fold,random forest,0.3258
sfecla,random 5-fold,extra trees,0.3215
sfecla,random 5-fold,gradient boosting,0.3407
sfecla,random 5-fold,k nearest neighbours,0.3584
sfecla,random 5-fold,neural net,0.6286
sfecla,leave-one-year-out,raion mean + trend,0.4625
sfecla,leave-one-year-out,baseline FE,0.3731
sfecla,leave-one-year-out,"ridge, all features",0.3768
sfecla,leave-one-year-out,splines + ridge,0.3873
sfecla,leave-one-year-out,random forest,0.3938
sfecla,leave-one-year-out,extra trees,0.36
sfecla,leave-one-year-out,gradient boosting,0.4258
sfecla,leave-one-year-out,k nearest neighbours,0.3931
sfecla,leave-one-year-out,neural net,0.8506
sfecla,leave-one-raion-out,raion mean + trend,0.442
sfecla,leave-one-raion-out,baseline FE,0.4873
sfecla,leave-one-raion-out,"ridge, all features",0.3396
sfecla,leave-one-raion-out,splines + ridge,0.3389
sfecla,leave-one-raion-out,random forest,0.3258
sfecla,leave-one-raion-out,extra trees,0.33
sfecla,leave-one-raion-out,gradient boosting,0.3531
sfecla,leave-one-raion-out,k nearest neighbours,0.3485
sfecla,leave-one-raion-out,neural net,1.3725
sfecla,rolling origin,raion mean + trend,0.4336
sfecla,rolling origin,baseline FE,0.3374
sfecla,rolling origin,"ridge, all features",0.3048
sfecla,rolling origin,splines + ridge,0.3349
sfecla,rolling origin,random forest,0.4271
sfecla,rolling origin,extra trees,0.3774
sfecla,rolling origin,gradient boosting,0.4727
sfecla,rolling origin,k nearest neighbours,0.3411
sfecla,rolling origin,neural net,0.8575
soia,random 5-fold,raion mean + trend,0.861
soia,random 5-fold,baseline FE,0.7031
soia,random 5-fold,"ridge, all features",0.6675
soia,random 5-fold,splines + ridge,0.6656
soia,random 5-fold,random forest,0.6316
soia,random 5-fold,extra trees,0.6218
soia,random 5-fold,gradient boosting,0.67
soia,random 5-fold,k nearest neighbours,0.7476
soia,random 5-fold,neural net,0.7392
soia,leave-one-year-out,raion mean + trend,0.8886
soia,leave-one-year-out,baseline FE,0.7375
soia,leave-one-year-out,"ridge, all features",0.7799
soia,leave-one-year-out,splines + ridge,0.7559
soia,leave-one-year-out,random forest,0.7751
soia,leave-one-year-out,extra trees,0.7416
soia,leave-one-year-out,gradient boosting,0.7836
soia,leave-one-year-out,k nearest neighbours,0.7759
soia,leave-one-year-out,neural net,0.817
soia,leave-one-raion-out,raion mean + trend,0.8985
soia,leave-one-raion-out,baseline FE,0.7131
soia,leave-one-raion-out,"ridge, all features",0.6809
soia,leave-one-raion-out,splines + ridge,0.6789
soia,leave-one-raion-out,random forest,0.6245
soia,leave-one-raion-out,extra trees,0.6201
soia,leave-one-raion-out,gradient boosting,0.6906
soia,leave-one-raion-out,k nearest neighbours,0.672
soia,leave-one-raion-out,neural net,0.9346
soia,rolling origin,raion mean + trend,0.8427
soia,rolling origin,baseline FE,0.7585
soia,rolling origin,"ridge, all features",1.0413
soia,rolling origin,splines + ridge,0.7933
soia,rolling origin,random forest,0.8102
soia,rolling origin,extra trees,0.6749
soia,rolling origin,gradient boosting,0.8316
soia,rolling origin,k nearest neighbours,0.6612
soia,rolling origin,neural net,0.7799
