crop,year,model,n_train_years,rmse
sfecla,2020,baseline FE,13,0.4383
sfecla,2020,gradient boosting,13,0.364
sfecla,2021,raion mean + trend,14,0.1407
sfecla,2021,baseline FE,14,0.1236
sfecla,2021,gradient boosting,14,0.4727
sfecla,2022,raion mean + trend,15,0.2779
sfecla,2022,baseline FE,15,0.1761
sfecla,2022,gradient boosting,15,0.3058
sfecla,2023,raion mean + trend,16,0.2452
sfecla,2023,baseline FE,16,0.1218
sfecla,2023,gradient boosting,16,0.1439
sfecla,2024,raion mean + trend,17,1.041
sfecla,2024,baseline FE,17,0.6923
sfecla,2024,gradient boosting,17,0.6662
sfecla,2025,raion mean + trend,18,0.2007
sfecla,2025,baseline FE,18,0.2019
sfecla,2025,gradient boosting,18,0.1616
soia,2014,raion mean + trend,7,0.5113
soia,2014,baseline FE,7,0.8693
soia,2014,gradient boosting,7,0.4843
soia,2015,raion mean + trend,8,1.2208
soia,2015,baseline FE,8,0.488
soia,2015,gradient boosting,8,0.8062
soia,2016,raion mean + trend,9,0.6685
soia,2016,baseline FE,9,0.7493
soia,2016,gradient boosting,9,0.4638
soia,2017,raion mean + trend,10,0.5891
soia,2017,baseline FE,10,0.6811
soia,2017,gradient boosting,10,0.637
soia,2018,raion mean + trend,11,0.6218
soia,2018,baseline FE,11,0.6809
soia,2018,gradient boosting,11,1.267
soia,2019,raion mean + trend,12,0.4144
soia,2019,baseline FE,12,0.4927
soia,2019,gradient boosting,12,1.2272
soia,2020,raion mean + trend,13,1.1898
soia,2020,baseline FE,13,1.158
soia,2020,gradient boosting,13,0.476
soia,2021,raion mean + trend,14,0.6777
soia,2021,baseline FE,14,0.5645
soia,2021,gradient boosting,14,0.7298
soia,2022,raion mean + trend,15,1.1435
soia,2022,baseline FE,15,0.9757
soia,2022,gradient boosting,15,0.9504
soia,2023,raion mean + trend,16,0.5598
soia,2023,baseline FE,16,0.6694
soia,2023,gradient boosting,16,1.0147
soia,2024,raion mean + trend,17,0.9413
soia,2024,baseline FE,17,0.6143
soia,2024,gradient boosting,17,0.6954
soia,2025,raion mean + trend,18,1.1162
soia,2025,baseline FE,18,1.0124
soia,2025,gradient boosting,18,0.8878
