crop,model,kdd,delta_log_yield
cartofi,monotonic,40.004281457650286,-0.20150640068879608
cartofi,monotonic,41.168535773881835,-0.20150640068879608
cartofi,monotonic,42.332790090113384,-0.20150640068879608
cartofi,monotonic,43.49704440634494,-0.20150640068879608
cartofi,monotonic,44.66129872257649,-0.20150640068879608
cartofi,monotonic,45.82555303880804,-0.20150640068879608
floarea_soarelui,unconstrained,0.40359321638025786,0.0
floarea_soarelui,unconstrained,1.6040599095236259,-0.010951361457133097
floarea_soarelui,unconstrained,2.804526602666994,-0.012651041361342734
floarea_soarelui,unconstrained,4.004993295810362,-0.013503058040956334
floarea_soarelui,unconstrained,5.20545998895373,-0.007018870910986079
floarea_soarelui,unconstrained,6.405926682097098,-0.0009411150902844737
floarea_soarelui,unconstrained,7.606393375240466,-0.0015367673144061206
floarea_soarelui,unconstrained,8.806860068383834,-0.0021383431253565316
floarea_soarelui,unconstrained,10.007326761527203,-0.0021562257859158163
floarea_soarelui,unconstrained,11.207793454670572,-0.0019219897748498568
floarea_soarelui,unconstrained,12.40826014781394,-0.0015805205491402907
floarea_soarelui,unconstrained,13.608726840957306,0.023815993684428816
floarea_soarelui,unconstrained,14.809193534100675,0.01830630765847588
floarea_soarelui,unconstrained,16.009660227244044,-0.011353611528536695
floarea_soarelui,unconstrained,17.21012692038741,-0.011353611528536695
floarea_soarelui,unconstrained,18.41059361353078,-0.011729006244708559
floarea_soarelui,unconstrained,19.611060306674148,-0.010964312348079833
floarea_soarelui,unconstrained,20.811526999817517,-0.010964312348079833
floarea_soarelui,unconstrained,22.011993692960885,-0.010964312348079833
floarea_soarelui,unconstrained,23.21246038610425,-0.010964312348079833
floarea_soarelui,unconstrained,24.41292707924762,-0.01607955397628613
floarea_soarelui,unconstrained,25.61339377239099,-0.01607955397628613
floarea_soarelui,unconstrained,26.813860465534354,-0.01607955397628613
floarea_soarelui,unconstrained,28.014327158677723,-0.013046490505294939
floarea_soarelui,unconstrained,29.214793851821092,-0.012045608100146155
floarea_soarelui,unconstrained,30.41526054496446,-0.1474271734795505
floarea_soarelui,unconstrained,31.61572723810783,-0.1441164979276095
floarea_soarelui,unconstrained,32.8161939312512,-0.3010949718821556
floarea_soarelui,unconstrained,34.01666062439456,-0.43959257639631405
floarea_soarelui,unconstrained,35.21712731753793,-0.44043709522203217
floarea_soarelui,unconstrained,36.4175940106813,-0.44927980178351673
floarea_soarelui,unconstrained,37.61806070382467,-0.45005626642589935
floarea_soarelui,unconstrained,38.81852739696804,-0.45005626642589935
floarea_soarelui,unconstrained,40.018994090111406,-0.45005626642589935
floarea_soarelui,unconstrained,41.219460783254775,-0.45005626642589935
floarea_soarelui,unconstrained,42.41992747639814,-0.45005626642589935
floarea_soarelui,unconstrained,43.62039416954151,-0.45005626642589935
floarea_soarelui,unconstrained,44.820860862684874,-0.45005626642589935
floarea_soarelui,unconstrained,46.02132755582824,-0.45005626642589935
floarea_soarelui,unconstrained,47.22179424897161,-0.45005626642589935
floarea_soarelui,monotonic,0.40359321638025786,0.0
floarea_soarelui,monotonic,1.6040599095236259,-0.0028150582881713293
floarea_soarelui,monotonic,2.804526602666994,-0.004057704288575041
floarea_soarelui,monotonic,4.004993295810362,-0.004057704288575041
floarea_soarelui,monotonic,5.20545998895373,-0.004967623481814051
floarea_soarelui,monotonic,6.405926682097098,-0.004967623481814051
floarea_soarelui,monotonic,7.606393375240466,-0.004967623481814051
floarea_soarelui,monotonic,8.806860068383834,-0.004967623481814051
floarea_soarelui,monotonic,10.007326761527203,-0.004967623481814051
floarea_soarelui,monotonic,11.207793454670572,-0.004967623481814051
floarea_soarelui,monotonic,12.40826014781394,-0.005841434398244694
floarea_soarelui,monotonic,13.608726840957306,-0.005841434398244694
floarea_soarelui,monotonic,14.809193534100675,-0.006451180595094322
floarea_soarelui,monotonic,16.009660227244044,-0.020847083308947852
floarea_soarelui,monotonic,17.21012692038741,-0.022743692911717763
floarea_soarelui,monotonic,18.41059361353078,-0.022743692911717763
floarea_soarelui,monotonic,19.611060306674148,-0.022743692911717763
floarea_soarelui,monotonic,20.811526999817517,-0.022743692911717763
